check,pass,value,notes
step35_config_validation_pass,True,True,Step 35 config remains valid
step35_wall_velocity_row_count,True,63,Step 35 still has 63 diagnostic rows
step35_no_lbm_update_pass,True,True,Step 35 remains diagnostic-only
step35_apply_to_lbm_count_zero,True,0,Step 35 does not apply to LBM
step35_lbm_population_update_count_zero,True,0,Step 35 does not update populations
step35_moving_bounceback_update_count_zero,True,0,Step 35 does not update moving bounce-back
log_marker_step35_wall_velocity_config_validation,True,logs/step35_wall_velocity_config_validation.log,Step 35 log marker is present
log_marker_step35_generate_wall_velocity_field,True,logs/step35_generate_wall_velocity_field.log,Step 35 log marker is present
log_marker_step35_wall_velocity_quality,True,logs/step35_wall_velocity_quality.log,Step 35 log marker is present
log_marker_step35_wall_velocity_repeatability,True,logs/step35_wall_velocity_repeatability.log,Step 35 log marker is present
log_marker_step35_motion_velocity_consistency,True,logs/step35_motion_velocity_consistency.log,Step 35 log marker is present
log_marker_step35_grid_coverage_diagnostics,True,logs/step35_grid_coverage_diagnostics.log,Step 35 log marker is present
log_marker_step35_no_lbm_update_guard,True,logs/step35_no_lbm_update_guard.log,Step 35 log marker is present
log_marker_step35_step34_regression_guard,True,logs/step35_step34_regression_guard.log,Step 35 log marker is present
log_marker_step35_artifact_manifest,True,logs/step35_artifact_manifest.log,Step 35 log marker is present
