actual,check,expected,pass,row_name
True,step95_taichi_ggui_10step_visualization_plan_pass,True,True,step96_ggui_10step_visual_run_plan
first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run,step96_allowed_row_name,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run,True,step96_ggui_10step_visual_run_plan
0,step95_activation_feature_count,0,True,step96_ggui_10step_visual_run_plan
4,planned_step96_activation_feature_count,4,True,step96_ggui_10step_visual_run_plan
10,step96_allowed_n_lbm_steps,10,True,step96_ggui_10step_visual_run_plan
1,previous_step94_n_lbm_steps,1,True,step96_ggui_10step_visual_run_plan
10,previous_step92_n_lbm_steps,10,True,step96_ggui_10step_visual_run_plan
10,planned_step96_n_lbm_steps,10,True,step96_ggui_10step_visual_run_plan
True,from_step94_duration_expansion,True,True,step96_ggui_10step_visual_run_plan
True,from_step92_adds_ggui_visualization,True,True,step96_ggui_10step_visual_run_plan
squid_proxy,geometry_type_allowed_for_step96,squid_proxy,True,step96_ggui_10step_visual_run_plan
configs/step85_squid_proxy_geometry_1024.json,geometry_config_path_allowed_for_step96,configs/step85_squid_proxy_geometry_1024.json,True,step96_ggui_10step_visual_run_plan
diagnostic_only,geometry_motion_application_mode_allowed_for_step96,diagnostic_only,True,step96_ggui_10step_visual_run_plan
solid_vel_experimental,wall_velocity_application_mode_allowed_for_step96,solid_vel_experimental,True,step96_ggui_10step_visual_run_plan
solid_vel,target_lbm_field_planned_for_step96,solid_vel,True,step96_ggui_10step_visual_run_plan
"[0.0, 0.0, 0.0]",target_u_lbm_allowed_for_step96,"[0.0, 0.0, 0.0]",True,step96_ggui_10step_visual_run_plan
True,ggui_visualization_planned_for_step96,True,True,step96_ggui_10step_visual_run_plan
True,ggui_interactive_window_allowed_for_step96,True,True,step96_ggui_10step_visual_run_plan
True,ggui_screenshot_allowed_for_step96,True,True,step96_ggui_10step_visual_run_plan
False,ggui_video_allowed_for_step96,False,True,step96_ggui_10step_visual_run_plan
False,write_vtk_allowed,False,True,step96_ggui_10step_visual_run_plan
False,write_particles_allowed,False,True,step96_ggui_10step_visual_run_plan
False,vtr_output_allowed,False,True,step96_ggui_10step_visual_run_plan
False,particle_npy_output_allowed,False,True,step96_ggui_10step_visual_run_plan
False,video_output_allowed,False,True,step96_ggui_10step_visual_run_plan
True,squid_proxy_planned_for_step96,True,True,step96_ggui_10step_visual_run_plan
True,runtime_geometry_planned_for_step96,True,True,step96_ggui_10step_visual_run_plan
True,wall_velocity_planned_for_step96,True,True,step96_ggui_10step_visual_run_plan
True,combined_runtime_geometry_wall_velocity_planned_for_step96,True,True,step96_ggui_10step_visual_run_plan
False,driver_run_required,False,True,step96_ggui_10step_visual_run_plan
False,fsidriver_run_allowed,False,True,step96_ggui_10step_visual_run_plan
False,simulation_run_allowed,False,True,step96_ggui_10step_visual_run_plan
False,ggui_run_allowed,False,True,step96_ggui_10step_visual_run_plan
False,screenshot_output_allowed_in_step95,False,True,step96_ggui_10step_visual_run_plan
False,ggui_video_allowed_for_step96,False,True,step96_ggui_10step_visual_run_plan
False,write_vtk_allowed,False,True,step96_ggui_10step_visual_run_plan
False,write_particles_allowed,False,True,step96_ggui_10step_visual_run_plan
False,vtr_output_allowed,False,True,step96_ggui_10step_visual_run_plan
False,particle_npy_output_allowed,False,True,step96_ggui_10step_visual_run_plan
False,video_output_allowed,False,True,step96_ggui_10step_visual_run_plan
False,real_geometry_allowed,False,True,step96_ggui_10step_visual_run_plan
False,real_geometry_candidate_data_allowed,False,True,step96_ggui_10step_visual_run_plan
False,link_area_allowed,False,True,step96_ggui_10step_visual_run_plan
False,grid_48_allowed,False,True,step96_ggui_10step_visual_run_plan
False,grid_64_allowed,False,True,step96_ggui_10step_visual_run_plan
False,dense_wall_velocity_output_allowed,False,True,step96_ggui_10step_visual_run_plan
False,dense_displacement_output_allowed,False,True,step96_ggui_10step_visual_run_plan
False,runtime_code_changed,False,True,step96_ggui_10step_visual_run_plan
False,solver_behavior_changed,False,True,step96_ggui_10step_visual_run_plan
False,solver_formula_change_allowed,False,True,step96_ggui_10step_visual_run_plan
False,tau_migration_allowed,False,True,step96_ggui_10step_visual_run_plan
False,physical_validation_claim_allowed,False,True,step96_ggui_10step_visual_run_plan
False,production_readiness_claim_allowed,False,True,step96_ggui_10step_visual_run_plan
False,real_squid_validation_claim_allowed,False,True,step96_ggui_10step_visual_run_plan
False,squid_swimming_claim_allowed,False,True,step96_ggui_10step_visual_run_plan
False,squid_actuation_claim_allowed,False,True,step96_ggui_10step_visual_run_plan
False,geometry_mutation_allowed,False,True,step96_ggui_10step_visual_run_plan
