time_s,fluent_public_digitized_total_displacement_m,digitization_uncertainty_m,source_figure,digitization_method
0.0000,0,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0005,2.5e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0010,5e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0015,0.00011,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0020,0.00017,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0025,0.00024,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0030,0.00031,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0035,0.0003525,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0040,0.000395,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0045,0.0003825,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0050,0.00037,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0055,0.00031,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0060,0.00025,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0065,0.000175,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0070,0.0001,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0075,6.25e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0080,2.5e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0085,3.5e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0090,4.5e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0095,8.75e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0100,0.00013,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0105,0.00019,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0110,0.00025,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0115,0.0003,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0120,0.00035,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0125,0.0003725,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0130,0.000395,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0135,0.0003825,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0140,0.00037,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0145,0.00032,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0150,0.00027,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0155,0.0002,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0160,0.00013,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0165,8.25e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0170,3.5e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0175,3e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0180,2.5e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0185,5.75e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0190,9e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0195,0.00015,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0200,0.00021,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0205,0.00027,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0210,0.00033,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0215,0.0003575,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0220,0.000385,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0225,0.0003625,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0230,0.00034,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0235,0.000265,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0240,0.00019,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0245,0.000125,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
0.0250,6e-05,0.000025,Figure 29.4,manual_visual_anchor_linear_interpolation
