step,primary_artifact,primary_artifact_exists,evidence_kind,solver_time_integration_run,record_kind,scope_note,claim_boundary
1,STEP10_FSI_DRIVER_REPORT.md,True,solver_smoke_baseline,True,solver_smoke_record,"early solver smoke baseline, not a full validation claim","solver smoke only, not production or physical validation"
2,STEP20_GEOMETRY_IMPORT_REPORT.md,True,solver_smoke_baseline,True,solver_smoke_record,"early solver smoke baseline, not a full validation claim","solver smoke only, not production or physical validation"
3,STEP30_CONTROLLED_SQUID_PROXY_REGION_GEOMETRY_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
4,STEP40_CONTROLLED_JET_CYCLE_PROXY_PARAMETER_SENSITIVITY_SMOKE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
5,STEP50_CONTROLLED_RUNTIME_GEOMETRY_WALL_VELOCITY_ONE_CYCLE_COUPLING_DIAGNOSTIC_ENVELOPE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
6,STEP6_PENALTY_COUPLING_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
7,STEP7_FSI_VALIDATION_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
8,STEP8_MOVING_BOUNCEBACK_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
9,STEP9_MOVING_BOUNDARY_REACTION_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
10,STEP10_FSI_DRIVER_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
11,STEP11_WRITING_MODULE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
12,STEP12_PERFORMANCE_MEMORY_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
13,STEP13_GEOMETRY_INGESTION_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
14,STEP14_LARGER_GRID_VALIDATION_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
15,STEP15_MOVING_BOUNDARY_CALIBRATION_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
16,STEP16_LONG_RUN_VALIDATION_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
17,STEP17_LINK_AREA_ACCOUNTING_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
18,STEP18_LINK_AREA_TRANSFER_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
19,STEP19_LINK_AREA_LONG_RUN_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
20,STEP20_GEOMETRY_IMPORT_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
21,STEP21_IMPORTED_GEOMETRY_SCALE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
22,STEP22_GEOMETRY_QUALITY_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
23,STEP23_QUALITY_GATED_GEOMETRY_SCALE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
24,STEP24_STRICT_QUALITY_GATED_IMPORTED_GEOMETRY_LONG_RUN_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
25,STEP25_CONTROLLED_REAL_GEOMETRY_INTAKE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
26,STEP26_CONTROLLED_REAL_GEOMETRY_SHORT_FEASIBILITY_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
27,STEP27_CONTROLLED_REAL_GEOMETRY_64_SHORT_DRIVER_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
28,STEP28_CONTROLLED_REAL_GEOMETRY_64_TRANSFER_DIAGNOSTICS_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
29,STEP29_CONTROLLED_REAL_GEOMETRY_64_STABILITY_ENVELOPE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
30,STEP30_CONTROLLED_SQUID_PROXY_REGION_GEOMETRY_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
31,STEP31_CONTROLLED_SQUID_PROXY_REGION_STATIC_DRIVER_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
32,STEP32_CONTROLLED_SQUID_PROXY_KINEMATICS_SCHEDULE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
33,STEP33_CONTROLLED_SQUID_PROXY_KINEMATICS_MAPPING_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
34,STEP34_CONTROLLED_SQUID_PROXY_BOUNDARY_MOTION_DRIVER_INTERFACE_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
35,STEP35_CONTROLLED_SQUID_PROXY_MOVING_WALL_VELOCITY_FIELD_DIAGNOSTIC_REPORT.md,True,contract_or_report_artifact,unknown_from_repository_index,historical_step_record,historical step kept under its original committed contract,defer to original step report
