grid_size,phase,region_id,active_cell_count,sample_point_count,velocity_norm_min,velocity_norm_max,velocity_norm_mean,velocity_x_mean,velocity_y_mean,velocity_z_mean,displacement_norm_max,source_motion_model,source_motion_velocity_norm_max,mantle_radius_rate,volume_rate,aperture_rate,finite_pass,bounds_pass,diagnostic_only,apply_to_lbm,lbm_population_update_enabled,moving_bounceback_update_enabled,driver_integration_enabled,scope_note
32,0.0,mantle_outer,648,32768,0.001266052216990649,0.007765970249971208,0.005874407566989912,0.0,-2.0483336632715982e-05,2.6770424011987762e-21,0.0,radial_scale_proxy,0.007765970249971208,-0.04482507288630089,-0.11953352769679348,0.0,True,True,True,False,False,False,False,Step 35 diagnostic wall velocity field only; no LBM population update
32,0.0,mantle_cavity_proxy,100,32768,0.005976676384839674,0.005976676384839674,0.005976676384839674,0.0,-0.005976676384839674,0.0,0.0,volume_scale_proxy,0.0,-0.04482507288630089,-0.11953352769679348,0.0,True,True,True,False,False,False,False,Step 35 diagnostic wall velocity field only; no LBM population update
32,0.0,funnel_outlet_proxy,8,32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aperture_scale_proxy,0.0,-0.04482507288630089,-0.11953352769679348,0.0,True,True,True,False,False,False,False,Step 35 diagnostic wall velocity field only; no LBM population update
32,0.1,mantle_outer,648,32768,0.01479119541313349,0.09072926218868085,0.0686302737704377,2.741291418827547e-18,-0.00023930532309927163,-2.141633920959021e-20,0.005152058312175611,radial_scale_proxy,0.09072926218868085,-0.52368804664723,-1.3965014577259538,0.0,True,True,True,False,False,False,False,Step 35 diagnostic wall velocity field only; no LBM population update
32,0.1,mantle_cavity_proxy,100,32768,0.06982507288629769,0.06982507288629769,0.06982507288629769,0.0,-0.06982507288629769,0.0,0.003965014577259474,volume_scale_proxy,0.0,-0.52368804664723,-1.3965014577259538,0.0,True,True,True,False,False,False,False,Step 35 diagnostic wall velocity field only; no LBM population update
32,0.1,funnel_outlet_proxy,8,32768,0.0,0.0,0.0,0.0,0.0,0.0,0.052000000000000005,aperture_scale_proxy,0.0,-0.52368804664723,-1.3965014577259538,0.0,True,True,True,False,False,False,False,Step 35 diagnostic wall velocity field only; no LBM population update
32,0.2,mantle_outer,648,32768,0.017755610360233414,0.10891299740812482,0.08238498417119396,0.0,-0.00028726630643440926,-1.2849803525754126e-19,0.015759237190184246,radial_scale_proxy,0.10891299740812482,-0.6286443148688079,-1.6763848396501473,0.0,True,True,True,False,False,False,False,Step 35 diagnostic wall velocity field only; no LBM population update
32,0.2,mantle_cavity_proxy,100,32768,0.08381924198250737,0.08381924198250737,0.08381924198250734,0.0,-0.08381924198250734,0.0,0.012128279883381927,volume_scale_proxy,0.0,-0.6286443148688079,-1.6763848396501473,0.0,True,True,True,False,False,False,False,Step 35 diagnostic wall velocity field only; no LBM population update
32,0.2,funnel_outlet_proxy,8,32768,0.0,0.0,0.0,0.0,0.0,0.0,0.052000000000000005,aperture_scale_proxy,0.0,-0.6286443148688079,-1.6763848396501473,0.0,True,True,True,False,False,False,False,Step 35 diagnostic wall velocity field only; no LBM population update
32,0.35,mantle_outer,648,32768,0.0004474198765884311,0.002744475626045374,0.002076001821552187,0.0,-7.238763003087703e-06,2.0747078609290516e-20,0.025987588251121133,radial_scale_proxy,0.002744475626045374,-0.015841075359851686,-0.042242867626274716,0.0,True,True,True,False,False,False,False,Step 35 diagnostic wall velocity field only; no LBM population update
32,0.35,mantle_cavity_proxy,100,32768,0.0021121433813137357,0.0021121433813137357,0.0021121433813137357,0.0,-0.0021121433813137357,0.0,0.020000000000000004,volume_scale_proxy,0.0,-0.015841075359851686,-0.042242867626274716,0.0,True,True,True,False,False,False,False,Step 35 diagnostic wall velocity field only; no LBM population update
