has_inf,has_nan,inlet_plane_mean_ux,lbm_substep,mid_duct_plane_mean_ux,outlet_plane_mean_ux,rho_max,rho_min
False,False,0.019999999552965164,0,0.0023999999463558195,0.0019999999552965165,1.0,1.0
False,False,0.019999999552965164,120,0.0026399999409914016,0.0022479999497532844,1.0,1.0
False,False,0.019999999552965164,240,0.0028799999356269833,0.0024959999442100526,1.0,1.0
False,False,0.019999999552965164,360,0.003119999930262566,0.0027439999386668205,1.0,1.0
False,False,0.019999999552965164,480,0.0033599999248981475,0.0029919999331235888,1.0,1.0
False,False,0.019999999552965164,600,0.0035999999195337295,0.0032399999275803566,1.0,1.0
False,False,0.019999999552965164,720,0.0038399999141693116,0.0034879999220371245,1.0,1.0
False,False,0.019999999552965164,840,0.004079999908804894,0.003735999916493893,1.0,1.0
False,False,0.019999999552965164,960,0.004319999903440476,0.003983999910950661,1.0,1.0
False,False,0.019999999552965164,1080,0.0045599998980760574,0.004231999905407429,1.0,1.0
False,False,0.019999999552965164,1200,0.004799999892711639,0.004479999899864197,1.0,1.0
False,False,0.019999999552965164,1320,0.005039999887347222,0.004727999894320965,1.0,1.0
False,False,0.019999999552965164,1440,0.005279999881982803,0.004975999888777733,1.0,1.0
False,False,0.019999999552965164,1560,0.005519999876618386,0.0052239998832345,1.0,1.0
False,False,0.019999999552965164,1680,0.005759999871253968,0.0054719998776912694,1.0,1.0
False,False,0.019999999552965164,1800,0.005999999865889549,0.005719999872148038,1.0,1.0
False,False,0.019999999552965164,1920,0.006239999860525132,0.005967999866604805,1.0,1.0
False,False,0.019999999552965164,2040,0.006479999855160713,0.0062159998610615734,1.0,1.0
False,False,0.019999999552965164,2160,0.006719999849796295,0.006463999855518341,1.0,1.0
False,False,0.019999999552965164,2280,0.0069599998444318766,0.006711999849975109,1.0,1.0
False,False,0.019999999552965164,2400,0.007199999839067459,0.0069599998444318766,1.0,1.0
False,False,0.019999999552965164,2520,0.007439999833703041,0.007207999838888644,1.0,1.0
False,False,0.019999999552965164,2640,0.007679999828338623,0.007455999833345414,1.0,1.0
False,False,0.019999999552965164,2760,0.007919999822974205,0.007703999827802181,1.0,1.0
False,False,0.019999999552965164,2880,0.008159999817609787,0.007951999822258948,1.0,1.0
False,False,0.019999999552965164,3000,0.008399999812245368,0.008199999816715717,1.0,1.0
False,False,0.019999999552965164,3120,0.008639999806880952,0.008447999811172485,1.0,1.0
False,False,0.019999999552965164,3240,0.008879999801516533,0.008695999805629255,1.0,1.0
False,False,0.019999999552965164,3360,0.009119999796152115,0.008943999800086023,1.0,1.0
False,False,0.019999999552965164,3480,0.009359999790787697,0.00919199979454279,1.0,1.0
False,False,0.019999999552965164,3600,0.009599999785423278,0.009439999788999558,1.0,1.0
False,False,0.019999999552965164,3720,0.00983999978005886,0.009687999783456327,1.0,1.0
False,False,0.019999999552965164,3840,0.010079999774694443,0.009935999777913094,1.0,1.0
False,False,0.019999999552965164,3960,0.010319999769330025,0.010183999772369862,1.0,1.0
False,False,0.019999999552965164,4080,0.010559999763965607,0.01043199976682663,1.0,1.0
False,False,0.019999999552965164,4200,0.01079999975860119,0.010679999761283398,1.0,1.0
False,False,0.019999999552965164,4320,0.011039999753236772,0.010927999755740166,1.0,1.0
False,False,0.019999999552965164,4440,0.011279999747872353,0.011175999750196933,1.0,1.0
False,False,0.019999999552965164,4560,0.011519999742507933,0.011423999744653702,1.0,1.0
False,False,0.019999999552965164,4680,0.011759999737143517,0.01167199973911047,1.0,1.0
False,False,0.019999999552965164,4800,0.011999999731779098,0.011919999733567237,1.0,1.0
False,False,0.019999999552965164,4920,0.012239999726414678,0.012167999728024004,1.0,1.0
False,False,0.019999999552965164,5040,0.012479999721050263,0.012415999722480772,1.0,1.0
False,False,0.019999999552965164,5160,0.012719999715685845,0.012663999716937541,1.0,1.0
False,False,0.019999999552965164,5280,0.012959999710321427,0.012911999711394308,1.0,1.0
False,False,0.019999999552965164,5400,0.013199999704957008,0.01315999970585108,1.0,1.0
False,False,0.019999999552965164,5520,0.013439999699592592,0.013407999700307847,1.0,1.0
False,False,0.019999999552965164,5640,0.013679999694228171,0.013655999694764614,1.0,1.0
False,False,0.019999999552965164,5760,0.013919999688863753,0.013903999689221382,1.0,1.0
False,False,0.019999999552965164,5880,0.014159999683499335,0.01415199968367815,1.0,1.0
False,False,0.019999999552965164,6000,0.014399999678134918,0.014399999678134918,1.0,1.0
