row_name,check,actual,expected,pass
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,allowed_required_row_name,canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,activation_feature_count,1,1,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,runtime_geometry_enabled,True,True,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,geometry_motion_mode,prescribed_kinematic,prescribed_kinematic,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,geometry_motion_application_mode,diagnostic_only,diagnostic_only,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,geometry_motion_interface_report_pass,True,True,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,mutation_flag_enabled_count,0,0,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,wall_velocity_enabled,False,False,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,combined_runtime_geometry_wall_velocity_enabled,False,False,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,real_geometry_enabled,False,False,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,squid_proxy_enabled,False,False,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,link_area_enabled,False,False,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,grid_48_enabled,False,False,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,grid_64_enabled,False,False,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,write_vtk,False,False,True
canonical_driver_runtime_geometry_diagnostic_only_32_3step_smoke,write_particles,False,False,True
,step80_runtime_geometry_diagnostic_only_smoke_matrix_pass,True,True,True
,required_row_count,1,1,True
,optional_row_count,0,0,True
,required_stable_count,1,1,True
,activation_feature_count,1,1,True
,runtime_geometry_enabled_count,1,1,True
,wall_velocity_enabled_count,0,0,True
,combined_runtime_geometry_wall_velocity_enabled_count,0,0,True
,real_geometry_enabled_count,0,0,True
,squid_proxy_enabled_count,0,0,True
,link_area_enabled_count,0,0,True
,grid_48_enabled_count,0,0,True
,grid_64_enabled_count,0,0,True
,runtime_code_changed,False,False,True
,solver_behavior_changed,False,False,True
,physics_feature_expansion,diagnostic_only_only,diagnostic_only_only,True
step79_guard,step79_activation_guard_pass,True,True,True
step79_guard,planned_step80_activation_feature_count,1,1,True
step79_guard,step79_activation_feature_count,0,0,True
