check,pass,value,notes
original_geometry_hash_stable,True,cfd33df0be00889460e5c2ee3669b73e1605f1eb2b2d27b5f2ac9c48df3a10d1,original geometry config must not change
region_mask_hash_stable,True,d2c6519395ad7c789a729511e37124f0dc65f3f79f9a0203ffc8b1cd023be0d9,region mask assignment must not change
default_driver_state_mutation_count,True,0,Step 52 must not mutate default driver state
default_lbm_state_mutation_count,True,0,Step 52 must not mutate default LBM state
default_mpm_state_mutation_count,True,0,Step 52 must not mutate default MPM state
default_projection_state_mutation_count,True,0,Step 52 must not mutate default projection state
persistent_projected_state_count,True,0,Step 52 must not persist projected state
persistent_displaced_geometry_count,True,0,Step 52 must not persist displaced geometry
persistent_lbm_solid_vel_count,True,0,Step 52 must not persist LBM solid velocity
displaced_particle_output_count,True,0,Step 52 must not write displaced particles
dense_displacement_output_count,True,0,Step 52 must not write dense displacement fields
vtr_output_count,True,0,Step 52 must not write VTR
particle_npy_output_count,True,0,Step 52 must not write particle NPY
geo_all_fluid_dat_count_added,True,0,Step 52 must not add geo_all_fluid dat artifacts
default_driver_state_mutation_count_method_disclosed,True,not_applicable_proxy_no_driver_instance,Step 52 fixed-zero field method must be disclosed
default_lbm_state_mutation_count_method_disclosed,True,not_applicable_proxy_no_lbm_instance,Step 52 fixed-zero field method must be disclosed
default_mpm_state_mutation_count_method_disclosed,True,not_applicable_proxy_no_mpm_instance,Step 52 fixed-zero field method must be disclosed
default_projection_state_mutation_count_method_disclosed,True,not_applicable_proxy_no_projection_instance,Step 52 fixed-zero field method must be disclosed
persistent_projected_state_count_method_disclosed,True,config_and_artifact_guard,Step 52 fixed-zero field method must be disclosed
persistent_displaced_geometry_count_method_disclosed,True,config_and_artifact_guard,Step 52 fixed-zero field method must be disclosed
persistent_lbm_solid_vel_count_method_disclosed,True,config_and_artifact_guard,Step 52 fixed-zero field method must be disclosed
fixed_zero_fields_disclosed,True,True,Step 52 fixed-zero state fields must be explicitly disclosed
hash_checks_remain_measured,True,measured_config_hash_before_after,Step 52 hash checks must remain measured
forbidden_output_scans_remain_measured,True,measured_artifact_scan,Step 52 forbidden output scans must remain measured
