path,flag,forbidden_claim_count,forbidden_claims_absent
docs/53_controlled_48_support_scaling_active_cell_semantics.md,,0,True
STEP53_CONTROLLED_48_SUPPORT_SCALING_ACTIVE_CELL_SEMANTICS_REPORT.md,,0,True
configs/step53_metric_semantics_policy.json,,0,True
configs/step53_step51_step52_reference_artifacts.json,,0,True
configs/step53_support_scaling_active_cell_semantics_audit.json,,0,True
baseline_tests/run_step53_active_cell_semantics_audit.py,,0,True
baseline_tests/run_step53_applied_wall_support_scaling_audit.py,,0,True
baseline_tests/run_step53_artifact_manifest.py,,0,True
baseline_tests/run_step53_bounceback_support_scaling_audit.py,,0,True
baseline_tests/run_step53_metric_claim_guard.py,,0,True
baseline_tests/run_step53_phasewise_support_scaling_audit.py,,0,True
baseline_tests/run_step53_reference_artifact_validation.py,,0,True
baseline_tests/run_step53_step52_regression_guard.py,,0,True
baseline_tests/step53_common.py,,0,True
tests/test_step53_support_scaling_active_cell_semantics_contract.py,,0,True
outputs/step53_active_cell_semantics_audit/active_cell_semantics.csv,,0,True
outputs/step53_active_cell_semantics_audit/active_cell_semantics.json,,0,True
outputs/step53_active_cell_semantics_audit/active_cell_semantics_summary.csv,,0,True
outputs/step53_applied_wall_support_scaling_audit/applied_wall_support_scaling.csv,,0,True
outputs/step53_applied_wall_support_scaling_audit/applied_wall_support_scaling.json,,0,True
outputs/step53_applied_wall_support_scaling_audit/applied_wall_support_scaling_summary.csv,,0,True
outputs/step53_artifact_manifest/artifact_manifest.csv,,0,True
outputs/step53_artifact_manifest/artifact_summary.csv,,0,True
outputs/step53_artifact_manifest/artifact_summary.json,,0,True
outputs/step53_bounceback_support_scaling_audit/bounceback_support_scaling.csv,,0,True
outputs/step53_bounceback_support_scaling_audit/bounceback_support_scaling.json,,0,True
outputs/step53_bounceback_support_scaling_audit/bounceback_support_scaling_summary.csv,,0,True
outputs/step53_metric_claim_guard/metric_claim_guard.csv,,0,True
outputs/step53_metric_claim_guard/metric_claim_guard.json,,0,True
outputs/step53_metric_claim_guard/metric_claim_guard_summary.csv,,0,True
outputs/step53_phasewise_support_scaling_audit/phasewise_support_scaling.csv,,0,True
outputs/step53_phasewise_support_scaling_audit/phasewise_support_scaling.json,,0,True
outputs/step53_phasewise_support_scaling_audit/phasewise_support_scaling_summary.csv,,0,True
outputs/step53_reference_artifact_validation/reference_artifact_summary.csv,,0,True
outputs/step53_reference_artifact_validation/reference_artifact_validation.csv,,0,True
outputs/step53_reference_artifact_validation/reference_artifact_validation.json,,0,True
outputs/step53_step52_regression_guard/step52_regression_guard.csv,,0,True
outputs/step53_step52_regression_guard/step52_regression_guard.json,,0,True
outputs/step53_step52_regression_guard/step52_regression_guard_summary.csv,,0,True
outputs/step53_active_cell_semantics_audit/active_cell_semantics.json,grid_convergence_claim,0,True
outputs/step53_active_cell_semantics_audit/active_cell_semantics.json,physical_validation_claim,0,True
outputs/step53_active_cell_semantics_audit/active_cell_semantics.json,production_readiness_claim,0,True
outputs/step53_applied_wall_support_scaling_audit/applied_wall_support_scaling.json,applied_cell_growth_is_physical_validation,0,True
outputs/step53_bounceback_support_scaling_audit/bounceback_support_scaling.json,bb_link_used_as_area_convergence_metric,0,True
outputs/step53_phasewise_support_scaling_audit/phasewise_support_scaling.json,grid_convergence_claim,0,True
outputs/step53_phasewise_support_scaling_audit/phasewise_support_scaling.json,physical_validation_claim,0,True
outputs/step53_phasewise_support_scaling_audit/phasewise_support_scaling.json,production_readiness_claim,0,True
