artifact_path,summary_key,check,actual,expected,pass
outputs/step78_post_gate_5step_rebaseline_matrix/post_gate_5step_rebaseline_matrix.json,post_gate_5step_rebaseline_matrix_pass,step78_matrix_pass,True,True,True
outputs/step78_post_gate_5step_rebaseline_matrix/post_gate_5step_rebaseline_matrix.json,optional_row_count,step78_optional_row_count,0,0,True
outputs/step78_post_gate_5step_rebaseline_matrix/post_gate_5step_rebaseline_matrix.json,activation_feature_count,step78_activation_feature_count,0,0,True
outputs/step78_post_gate_5step_rebaseline_quality/post_gate_5step_rebaseline_quality.json,post_gate_5step_rebaseline_quality_pass,step78_quality_pass,True,True,True
outputs/step78_activation_guard/activation_guard.json,post_gate_5step_activation_guard_pass,step78_activation_guard_pass,True,True,True
outputs/step78_activation_guard/activation_guard.json,activation_feature_count,step78_activation_guard_feature_count,0,0,True
outputs/step78_output_guard/output_guard.json,output_guard_pass,step78_output_guard_pass,True,True,True
outputs/step78_output_guard/output_guard.json,step78_vtr_count,step78_vtr_count,0,0,True
outputs/step78_output_guard/output_guard.json,step78_particle_npy_count,step78_particle_npy_count,0,0,True
outputs/step78_output_guard/output_guard.json,protected_external_edit_count,step78_protected_external_edit_count,0,0,True
outputs/step78_output_guard/output_guard.json,protected_real_geometry_candidate_edit_count,step78_protected_real_geometry_candidate_edit_count,0,0,True
outputs/step78_step77_regression_guard/step77_regression_guard.json,step78_step77_regression_guard_pass,step78_step77_regression_guard_pass,True,True,True
outputs/step78_artifact_manifest/artifact_summary.json,artifact_budget_pass,step78_artifact_budget_pass,True,True,True
