check,pass,value,notes
step50_default_driver_state_mutation_count_method,True,not_applicable_proxy_no_driver_instance,fixed-zero state guard fields must disclose method/source
step50_default_lbm_state_mutation_count_method,True,not_applicable_proxy_no_lbm_instance,fixed-zero state guard fields must disclose method/source
step50_default_mpm_state_mutation_count_method,True,not_applicable_proxy_no_mpm_instance,fixed-zero state guard fields must disclose method/source
step50_default_projection_state_mutation_count_method,True,not_applicable_proxy_no_projection_instance,fixed-zero state guard fields must disclose method/source
step50_persistent_projected_state_count_method,True,config_and_artifact_guard,fixed-zero state guard fields must disclose method/source
step50_persistent_displaced_geometry_count_method,True,config_and_artifact_guard,fixed-zero state guard fields must disclose method/source
step50_persistent_lbm_solid_vel_count_method,True,config_and_artifact_guard,fixed-zero state guard fields must disclose method/source
step50_state_guard_kind,True,hash_plus_artifact_scan_plus_not_applicable_proxy_fields,state guard must disclose hash plus artifact scan plus proxy fixed-zero fields
step50_fixed_zero_fields_disclosed,True,True,fixed-zero fields must be explicitly disclosed
step51_default_driver_state_mutation_count_method,True,not_applicable_proxy_no_driver_instance,fixed-zero state guard fields must disclose method/source
step51_default_lbm_state_mutation_count_method,True,not_applicable_proxy_no_lbm_instance,fixed-zero state guard fields must disclose method/source
step51_default_mpm_state_mutation_count_method,True,not_applicable_proxy_no_mpm_instance,fixed-zero state guard fields must disclose method/source
step51_default_projection_state_mutation_count_method,True,not_applicable_proxy_no_projection_instance,fixed-zero state guard fields must disclose method/source
step51_persistent_projected_state_count_method,True,config_and_artifact_guard,fixed-zero state guard fields must disclose method/source
step51_persistent_displaced_geometry_count_method,True,config_and_artifact_guard,fixed-zero state guard fields must disclose method/source
step51_persistent_lbm_solid_vel_count_method,True,config_and_artifact_guard,fixed-zero state guard fields must disclose method/source
step51_state_guard_kind,True,hash_plus_artifact_scan_plus_not_applicable_proxy_fields,state guard must disclose hash plus artifact scan plus proxy fixed-zero fields
step51_fixed_zero_fields_disclosed,True,True,fixed-zero fields must be explicitly disclosed
step52_default_driver_state_mutation_count_method,True,not_applicable_proxy_no_driver_instance,fixed-zero state guard fields must disclose method/source
step52_default_lbm_state_mutation_count_method,True,not_applicable_proxy_no_lbm_instance,fixed-zero state guard fields must disclose method/source
step52_default_mpm_state_mutation_count_method,True,not_applicable_proxy_no_mpm_instance,fixed-zero state guard fields must disclose method/source
step52_default_projection_state_mutation_count_method,True,not_applicable_proxy_no_projection_instance,fixed-zero state guard fields must disclose method/source
step52_persistent_projected_state_count_method,True,config_and_artifact_guard,fixed-zero state guard fields must disclose method/source
step52_persistent_displaced_geometry_count_method,True,config_and_artifact_guard,fixed-zero state guard fields must disclose method/source
step52_persistent_lbm_solid_vel_count_method,True,config_and_artifact_guard,fixed-zero state guard fields must disclose method/source
step52_state_guard_kind,True,hash_plus_artifact_scan_plus_not_applicable_proxy_fields,state guard must disclose hash plus artifact scan plus proxy fixed-zero fields
step52_fixed_zero_fields_disclosed,True,True,fixed-zero fields must be explicitly disclosed
