actual,check,controlled_true_count,expected,pass,path
False,step70_default_write_vtk_allowed,0,False,True,
False,step70_default_write_particles_allowed,0,False,True,
False,step71_fsidriver_default_write_vtk,0,False,True,
False,step71_fsidriver_default_write_particles,0,False,True,
False,current_fsidriver_default_write_vtk,0,False,True,
False,current_fsidriver_default_write_particles,0,False,True,
[],json_controlled_output_keys_false,0,[],True,configs/step35_squid_proxy_wall_velocity_field.json
[],json_controlled_output_keys_false,0,[],True,configs/step36_wall_velocity_application_solid_vel_experimental.json
[],json_controlled_output_keys_false,0,[],True,configs/step73_wall_velocity_api_policy.json
[],json_controlled_output_keys_false,0,[],True,configs/step73_wall_velocity_config_schema_policy.json
[],json_controlled_output_keys_false,0,[],True,configs/step73_wall_velocity_driver_gate_policy.json
[],json_controlled_output_keys_false,0,[],True,configs/step73_wall_velocity_application_safety_policy.json
[],json_controlled_output_keys_false,0,[],True,configs/step73_wall_velocity_output_policy.json
[],json_controlled_output_keys_false,0,[],True,configs/step73_full_activation_gate_coverage_policy.json
[],json_controlled_output_keys_false,0,[],True,configs/step73_wall_velocity_readiness_policy.json
[],json_controlled_output_keys_false,0,[],True,configs/step73_no_simulation_policy.json
[],json_controlled_output_keys_false,0,[],True,configs/step73_step72_regression_policy.json
