actual,check,expected,notes,pass
True,WallVelocityFieldConfig_class_import_pass,True,Required class imports,True
d30bbf4f00c4120205c544f5fe97cdc0319fe1cb2813baed7427a9208adc1c1e,WallVelocityFieldConfig_schema_hash_matches_step70,d30bbf4f00c4120205c544f5fe97cdc0319fe1cb2813baed7427a9208adc1c1e,Step70 schema hash remains stable,True
d30bbf4f00c4120205c544f5fe97cdc0319fe1cb2813baed7427a9208adc1c1e,WallVelocityFieldConfig_schema_hash_matches_policy,d30bbf4f00c4120205c544f5fe97cdc0319fe1cb2813baed7427a9208adc1c1e,Policy pins Step70 schema hash,True
True,WallVelocityFieldConfig_from_json_available,True,Config remains JSON-loadable,True
True,WallVelocityFieldConfig_to_dict_available,True,Config remains serializable,True
True,WallVelocityApplicationConfig_class_import_pass,True,Required class imports,True
d2ebebff6aabe7c00e7e0574f2afa2342aee5e2ff8038772ee9feeae3a38eafc,WallVelocityApplicationConfig_schema_hash_matches_step70,d2ebebff6aabe7c00e7e0574f2afa2342aee5e2ff8038772ee9feeae3a38eafc,Step70 schema hash remains stable,True
d2ebebff6aabe7c00e7e0574f2afa2342aee5e2ff8038772ee9feeae3a38eafc,WallVelocityApplicationConfig_schema_hash_matches_policy,d2ebebff6aabe7c00e7e0574f2afa2342aee5e2ff8038772ee9feeae3a38eafc,Policy pins Step70 schema hash,True
True,WallVelocityApplicationConfig_from_json_available,True,Config remains JSON-loadable,True
True,WallVelocityApplicationConfig_to_dict_available,True,Config remains serializable,True
True,wall_velocity_field_config_validation_pass,True,Committed Step35 config validates,True
True,wall_velocity_application_config_validation_pass,True,Committed Step36 config validates,True
False,field_default_false_write_dense_field,False,Unsafe field execution default must be false,True
False,field_default_false_write_sparse_samples,False,Unsafe field execution default must be false,True
False,field_default_false_apply_to_lbm,False,Unsafe field execution default must be false,True
False,field_default_false_lbm_population_update_enabled,False,Unsafe field execution default must be false,True
False,field_default_false_moving_bounceback_update_enabled,False,Unsafe field execution default must be false,True
False,field_default_false_driver_integration_enabled,False,Unsafe field execution default must be false,True
False,field_default_false_jet_model_enabled,False,Unsafe field execution default must be false,True
False,field_default_false_actuation_enabled,False,Unsafe field execution default must be false,True
True,field_default_true_deterministic,True,Required field default must be true,True
False,field_config_false_write_dense_field,False,Committed field config must remain diagnostic-only,True
False,field_config_false_write_sparse_samples,False,Committed field config must remain diagnostic-only,True
False,field_config_false_apply_to_lbm,False,Committed field config must remain diagnostic-only,True
False,field_config_false_lbm_population_update_enabled,False,Committed field config must remain diagnostic-only,True
False,field_config_false_moving_bounceback_update_enabled,False,Committed field config must remain diagnostic-only,True
False,field_config_false_driver_integration_enabled,False,Committed field config must remain diagnostic-only,True
False,field_config_false_jet_model_enabled,False,Committed field config must remain diagnostic-only,True
False,field_config_false_actuation_enabled,False,Committed field config must remain diagnostic-only,True
False,app_default_false_apply_to_lbm_populations,False,Unsafe application default must be false,True
False,app_default_false_apply_to_mpm,False,Unsafe application default must be false,True
False,app_default_false_apply_to_projector,False,Unsafe application default must be false,True
False,app_default_false_modify_bounceback_formula,False,Unsafe application default must be false,True
False,app_default_false_jet_model_enabled,False,Unsafe application default must be false,True
False,app_default_false_actuation_claim_enabled,False,Unsafe application default must be false,True
True,app_default_true_apply_to_lbm_solid_vel,True,Required application default must be true,True
True,app_default_true_diagnostic_report_enabled,True,Required application default must be true,True
False,app_config_false_apply_to_lbm_populations,False,Committed application config must remain safe,True
False,app_config_false_apply_to_mpm,False,Committed application config must remain safe,True
False,app_config_false_apply_to_projector,False,Committed application config must remain safe,True
False,app_config_false_modify_bounceback_formula,False,Committed application config must remain safe,True
False,app_config_false_jet_model_enabled,False,Committed application config must remain safe,True
False,app_config_false_actuation_claim_enabled,False,Committed application config must remain safe,True
True,app_config_true_apply_to_lbm_solid_vel,True,Committed application config must remain opt-in solid_vel only,True
True,app_config_true_diagnostic_report_enabled,True,Committed application config must remain opt-in solid_vel only,True
